Date,Average Retail Price: Rice: Traditional Market,Average Retail Price: Rice: Low Quality I: Traditional Market,Average Retail Price: Rice: Low Quality II: Traditional Market,Average Retail Price: Rice: Medium Quality I: Traditional Market,Average Retail Price: Rice: Medium Quality II: Traditional Market,Average Retail Price: Rice: Super Quality I: Traditional Market,Average Retail Price: Rice: Super Quality II: Traditional Market,Average Retail Price: Chicken Meat: Traditional Market,Average Retail Price: Chicken Meat: Purebred Chicken: Traditional Market,Average Retail Price: Beef: Traditional Market,Average Retail Price: Beef: Quality 1: Traditional Market,Average Retail Price: Beef: Quality 2: Traditional Market,Average Retail Price: Egg: Traditional Market,Average Retail Price: Egg: Purebred Chicken Egg: Traditional Market,Average Retail Price: Onion: Traditional Market,Average Retail Price: Onion: Medium Size: Traditional Market,Average Retail Price: Garlic: Traditional Market,Average Retail Price: Garlic: Medium Size: Traditional Market,Average Retail Price: Red Chili Pepper: Traditional Market,Average Retail Price: Red Chili Pepper: Big: Traditional Market,Average Retail Price: Red Chili Pepper: Curly: Traditional Market,Average Retail Price: Cayenne Pepper: Traditional Market,Average Retail Price: Cayenne Pepper: Green: Traditional Market,Average Retail Price: Cayenne Pepper: Red: Traditional Market,Average Retail Price: Cooking Oil: Traditional Market,Average Retail Price: Cooking Oil: Bulky: Traditional Market,Average Retail Price: Cooking Oil: Brand I: Traditional Market,Average Retail Price: Cooking Oil: Brand II: Traditional Market,Average Retail Price: Sugar: Traditional Market,Average Retail Price: Sugar: Premium Quality: Traditional Market,Average Retail Price: Sugar: Local: Traditional Market,Average Retail Price: Rice: Modern Market,Average Retail Price: Rice: Low Quality I: Modern Market,Average Retail Price: Rice: Low Quality II: Modern Market,Average Retail Price: Rice: Medium Quality I: Modern Market,Average Retail Price: Rice: Medium Quality II: Modern Market,Average Retail Price: Rice: Super Quality I: Modern Market,Average Retail Price: Rice: Super Quality II: Modern Market,Average Retail Price: Chicken Meat: Modern Market,Average Retail Price: Chicken Meat: Purebred Chicken: Modern Market,Average Retail Price: Beef: Modern Market,Average Retail Price: Beef: Quality 1: Modern Market,Average Retail Price: Beef: Quality 2: Modern Market,Average Retail Price: Egg: Modern Market,Retail Price: Egg: Purebred Chicken Egg: Modern Market,Retail Price: Onion: Modern Market,Average Retail Price: Onion: Medium Size: Modern Market,Average Retail Price: Garlic: Modern Market,Average Retail Price: Garlic: Medium Size: Modern Market,Average Retail Price: Red Chili Pepper: Modern Market,Average Retail Price: Red Chili Pepper: Big: Modern Market,Average Retail Price: Red Chili Pepper: Curly: Modern Market,Average Retail Price: Cayenne Pepper: Modern Market,Average Retail Price: Cayenne Pepper: Green: Modern Market,Average Retail Price: Cayenne Pepper: Red: Modern Market,Average Retail Price: Cooking Oil: Modern Market,Average Retail Price: Cooking Oil: Brand I: Modern Market,Average Retail Price: Cooking Oil: Brand II: Modern Market,Average Retail Price: Sugar: Modern Market,Average Retail Price: Sugar: Premium Quality: Modern Market,Average Retail Price: Sugar: Local: Modern Market
7/22/2016,11400,10250,9750,11500,11250,12850,12300,34950,34950,115500,119300,109100,22450,22450,43900,43900,37800,37800,32500,32600,32600,35800,31450,41300,13400,11600,14400,13900,17200,17700,16650,16700,14100,13650,16750,16600,19700,19200,37400,37400,144200,152450,137550,25050,25050,52250,52250,43600,43600,56350,62950,49700,48150,48000,48400,14700,14650,14750,17700,18400,16950
7/25/2016,11300,10100,9600,11450,11100,12750,12200,34800,34800,116150,119700,110550,22550,22550,44400,44400,37600,37600,33750,33550,34300,36750,31600,42300,13250,11600,14300,13700,17150,17750,16500,16700,14100,13650,16750,16600,19700,19200,37400,37400,144200,152450,137550,25050,25050,52250,52250,43600,43600,56350,62950,49700,48150,48000,48400,14700,14650,14750,17700,18400,16950
7/26/2016,11400,10200,9600,11450,11400,12800,12250,34750,34750,115450,119200,109400,22650,22650,44450,44450,37650,37650,33850,34050,34250,36650,31250,42650,13300,11650,14350,13750,17150,17700,16550,16700,14100,13650,16750,16600,19700,19200,37400,37400,144200,152450,137550,25050,25050,52250,52250,43600,43600,56350,62950,49700,48150,48000,48400,14700,14650,14750,17700,18400,16950
7/27/2016,11350,10150,9600,11450,11100,12800,12200,34800,34800,115600,119050,109950,22700,22700,44500,44500,37650,37650,33700,34300,33850,36350,31350,41850,13250,11600,14300,13750,17150,17750,16500,16700,14100,13650,16750,16600,19700,19200,37400,37400,144200,152450,137550,25050,25050,52250,52250,43600,43600,56350,62950,49700,48150,48000,48400,14700,14650,14750,17700,18400,16950
7/28/2016,11300,10100,9600,11450,11100,12800,12200,34800,34800,115400,119100,109550,22800,22800,44650,44650,37550,37550,33900,34900,33800,36600,31900,41850,13250,11550,14250,13750,17100,17750,16450,16700,14100,13650,16750,16600,19700,19200,37400,37400,144200,152450,137550,25050,25050,52250,52250,43600,43600,56350,62950,49700,48150,48000,48400,14700,14650,14750,17700,18400,16950
7/29/2016,11300,10150,9650,11450,11100,12750,12200,34650,34650,115650,119150,110000,23000,23000,44400,44400,37450,37450,33650,34400,33550,36800,32250,41800,13250,11600,14300,13750,17100,17750,16450,16700,14100,13650,16750,16600,19700,19200,37400,37400,144200,152450,137550,25050,25050,52250,52250,43600,43600,56350,62950,49700,48150,48000,48400,14700,14650,14750,17700,18400,16950
8/1/2016,11300,10150,9550,11400,11150,12800,12250,34400,34400,115550,119100,109950,22900,22900,44200,44200,37200,37200,34400,34950,34400,38150,34300,42450,13250,11550,14250,13800,17100,17750,16450,16600,14150,13500,16700,16750,19750,18650,37350,37350,145400,154300,138250,25200,25200,53750,53750,43800,43800,55300,60850,49700,48600,48450,48400,14700,14650,14750,17600,18200,16950
8/2/2016,11300,10150,9600,11450,11150,12750,12250,34200,34200,115450,118900,109900,23050,23050,43950,43950,36900,36900,34250,35100,33800,38300,34250,42700,13250,11550,14250,13800,17050,17750,16350,16600,14150,13500,16700,16750,19750,18650,37350,37350,145400,154300,138250,25200,25200,53750,53750,43800,43800,55300,60850,49700,48600,48450,48400,14700,14650,14750,17600,18200,16950
8/3/2016,11300,10150,9600,11450,11150,12750,12300,34150,34150,115350,118800,109800,23050,23050,43700,43700,37100,37100,33800,34500,33600,38300,34350,42600,13250,11550,14250,13800,17050,17750,16400,16600,14150,13500,16700,16750,19750,18650,37350,37350,145400,154300,138250,25200,25200,53750,53750,43800,43800,55300,60850,49700,48600,48450,48400,14700,14650,14750,17600,18200,16950
8/4/2016,11300,10150,9600,11450,11150,12750,12300,34050,34050,115300,118700,109750,23100,23100,43500,43500,36900,36900,33800,34500,33450,39050,35050,43400,13250,11550,14300,13800,17050,17750,16350,16600,14150,13500,16700,16750,19750,18650,37350,37350,145400,154300,138250,25200,25200,53750,53750,43800,43800,55300,60850,49700,48600,48450,48400,14700,14650,14750,17600,18200,16950
8/5/2016,11300,10200,9600,11450,11150,12750,12300,34100,34100,115350,118750,109350,23100,23100,42900,42900,36750,36750,34150,34600,33600,38950,35000,42900,13250,11450,14300,13800,17050,17750,16300,16600,14150,13500,16700,16750,19750,18650,37350,37350,145400,154300,138250,25200,25200,53750,53750,43800,43800,55300,60850,49700,48600,48450,48400,14700,14650,14750,17600,18200,16950
8/8/2016,11300,10200,9600,11450,11150,12750,12300,34250,34250,115250,118750,109600,23000,23000,42050,42050,36850,36850,35350,35600,34700,40850,37150,44400,13300,11600,14300,13800,17000,17750,16250,16650,14150,13500,16700,16750,19800,18750,37650,37650,145300,155600,136800,25350,25350,54500,54500,43700,43700,56700,61450,51950,49550,49350,50700,14750,14750,14750,17500,18150,16800
8/9/2016,11350,10200,9600,11450,11150,12750,12300,34150,34150,115050,118600,109350,22950,22950,41900,41900,36800,36800,35400,35700,34900,41200,37050,45350,13300,11600,14300,13850,16950,17750,16100,16650,14150,13500,16700,16750,19800,18750,37650,37650,145300,155600,136800,25350,25350,54500,54500,43700,43700,56700,61450,51950,49550,49350,50700,14750,14750,14750,17500,18150,16800
8/10/2016,11300,10100,9600,11450,11100,12800,12250,34000,34000,114700,118200,109200,22850,22850,42150,42150,37000,37000,35400,36000,34700,41050,36850,45050,13350,11700,14350,13850,16900,17700,16100,16650,14150,13500,16700,16750,19800,18750,37650,37650,145300,155600,136800,25350,25350,54500,54500,43700,43700,56700,61450,51950,49550,49350,50700,14750,14750,14750,17500,18150,16800
8/11/2016,11300,10100,9600,11450,11100,12800,12250,33900,33900,114700,118150,109200,22750,22750,41900,41900,37050,37050,35250,35750,34750,41050,36850,45150,13350,11700,14350,13800,16900,17700,16050,16650,14150,13500,16700,16750,19800,18750,37650,37650,145300,155600,136800,25350,25350,54500,54500,43700,43700,56700,61450,51950,49550,49350,50700,14750,14750,14750,17500,18150,16800
8/12/2016,11250,10050,9600,11350,11000,12750,12200,33950,33950,115050,118550,109500,22400,22400,40950,40950,36200,36200,34650,35150,34050,39950,36050,43600,13250,11750,14250,13700,16750,17650,15850,16650,14150,13500,16700,16750,19800,18750,37650,37650,145300,155600,136800,25350,25350,54500,54500,43700,43700,56700,61450,51950,49550,49350,50700,14750,14750,14750,17500,18150,16800
8/15/2016,11300,10100,9600,11450,11150,12800,12250,34300,34300,114750,118200,109700,22600,22600,41200,41200,36650,36650,34600,34550,34400,41600,38200,45600,13400,11900,14400,13850,16700,17550,15800,16650,14150,13550,16700,16750,19750,18750,36400,36400,143850,153200,136250,25150,25150,53450,53450,42850,42850,56250,61200,51250,49850,49400,60700,14800,14800,14800,17450,18000,16850
8/16/2016,11350,10150,9700,11500,11200,12800,12350,34900,34900,115100,118400,110250,22800,22800,40850,40850,36600,36600,35450,35200,34950,42200,38300,46300,13450,12050,14350,13850,16700,17650,15800,16650,14150,13550,16700,16750,19750,18750,36400,36400,143850,153200,136250,25150,25150,53450,53450,42850,42850,56250,61200,51250,49850,49400,60700,14800,14800,14800,17450,18000,16850
8/18/2016,11300,10100,9650,11400,11100,12800,12250,34300,34300,114150,117400,109950,22550,22550,40350,40350,36100,36100,35100,35100,34950,41200,37550,45350,13500,12150,14400,13850,16650,17550,15750,16650,14150,13550,16700,16750,19750,18750,36400,36400,143850,153200,136250,25150,25150,53450,53450,42850,42850,56250,61200,51250,49850,49400,60700,14800,14800,14800,17450,18000,16850
8/19/2016,11250,10050,9650,11350,11050,12700,12150,34150,34150,113850,117250,109450,22400,22400,40300,40300,36150,36150,34550,34300,34500,40350,37100,44000,13500,12200,14400,13850,16650,17500,15750,16650,14150,13550,16700,16750,19750,18750,36400,36400,143850,153200,136250,25150,25150,53450,53450,42850,42850,56250,61200,51250,49850,49400,60700,14800,14800,14800,17450,18000,16850
8/22/2016,11350,10150,9700,11450,11150,12800,12300,34400,34400,114400,117850,110000,22150,22150,39700,39700,35950,35950,36050,35750,35900,41100,37150,45250,13550,12400,14400,13850,16600,17550,15650,16600,14100,13350,16750,16700,19800,18700,38250,38250,143350,152150,136200,25050,25050,53500,53500,43700,43700,56350,61700,50950,49400,48750,69900,14750,14650,14800,17500,18100,16850
8/23/2016,11350,10200,9700,11500,11250,12800,12350,33900,33900,114500,117900,110100,22250,22250,39700,39700,36000,36000,36400,36250,36050,41100,37400,44900,13650,12450,14450,13900,16600,17550,15700,16600,14100,13350,16750,16700,19800,18700,38250,38250,143350,152150,136200,25050,25050,53500,53500,43700,43700,56350,61700,50950,49400,48750,69900,14750,14650,14800,17500,18100,16850
8/24/2016,11300,10150,9650,11400,11150,12800,12250,33350,33350,114150,117650,109750,22150,22150,39850,39850,35900,35900,35850,35700,35650,40500,36800,44250,13650,12500,14500,13900,16550,17550,15650,16600,14100,13350,16750,16700,19800,18700,38250,38250,143350,152150,136200,25050,25050,53500,53500,43700,43700,56350,61700,50950,49400,48750,69900,14750,14650,14800,17500,18100,16850
8/25/2016,11300,10150,9650,11400,11150,12800,12250,33150,33150,114450,117850,110150,22150,22150,39750,39750,35950,35950,35850,35650,35650,40250,36550,44100,13650,12500,14500,13900,16550,17550,15650,16600,14100,13350,16750,16700,19800,18700,38250,38250,143350,152150,136200,25050,25050,53500,53500,43700,43700,56350,61700,50950,49400,48750,69900,14750,14650,14800,17500,18100,16850
8/26/2016,11250,10100,9650,11350,11150,12700,12200,32800,32800,113650,117150,109100,22100,22100,39800,39800,36000,36000,35700,35700,35100,39850,36550,43350,13700,12550,14550,14000,16600,17500,15700,16600,14100,13350,16750,16700,19800,18700,38250,38250,143350,152150,136200,25050,25050,53500,53500,43700,43700,56350,61700,50950,49400,48750,69900,14750,14650,14800,17500,18100,16850
8/29/2016,11300,10150,9650,11400,11200,12800,12300,32300,32300,114600,118050,110350,21850,21850,39750,39750,35750,35750,36450,36100,36100,39300,36350,42350,13700,12600,14500,13950,16450,17500,15450,16600,14100,13350,16750,16700,19800,18700,38250,38250,143350,152150,136200,25050,25050,53500,53500,43700,43700,56350,61700,50950,49400,48750,69900,14750,14650,14800,17500,18100,16850
8/30/2016,11300,10150,9650,11400,11200,12850,12250,32100,32100,114450,117950,110100,21850,21850,39650,39650,35600,35600,37100,36450,36900,39050,35850,42250,13700,12600,14550,13950,16450,17500,15450,16600,14100,13350,16750,16700,19800,18700,38250,38250,143350,152150,136200,25050,25050,53500,53500,43700,43700,56350,61700,50950,49400,48750,69900,14750,14650,14800,17500,18100,16850
8/31/2016,11300,10150,9650,11400,11150,12800,12300,31850,31850,114450,117950,110100,21800,21800,40000,40000,35650,35650,37300,36700,37100,38950,35800,42150,13750,12650,14550,13950,16450,17500,15400,16600,14100,13350,16750,16700,19800,18700,38250,38250,143350,152150,136200,25050,25050,53500,53500,43700,43700,56350,61700,50950,49400,48750,69900,14750,14650,14800,17500,18100,16850
9/1/2016,11250,10100,9600,11400,11100,12750,12200,31600,31600,114000,117500,110050,21700,21700,40100,40100,35950,35950,37650,37200,37550,38100,35650,40500,13700,12600,14500,13900,16350,17450,15300,16800,13900,13500,16850,16650,20100,19450,36600,36600,144900,151900,139350,24350,24350,52750,52750,43150,43150,56600,61500,51700,51400,50650,71200,14800,14600,14950,17300,17950,16650
9/2/2016,11300,10100,9600,11650,11100,12750,12200,31500,31500,114050,117600,110100,21750,21750,40500,40500,36000,36000,38100,37800,37950,38250,35550,41000,13750,12600,14550,13950,16300,17400,15250,16800,13900,13500,16850,16650,20100,19450,36600,36600,144900,151900,139350,24350,24350,52750,52750,43150,43150,56600,61500,51700,51400,50650,71200,14800,14600,14950,17300,17950,16650
9/5/2016,11250,10100,9650,11400,11100,12750,12250,31600,31600,114100,117550,110300,21850,21850,41850,41850,36650,36650,41750,41350,41850,38950,36400,41800,13750,12700,14500,13950,16250,17500,15150,16700,13900,13500,16800,16450,20200,19050,36800,36800,143000,150100,137200,24250,24250,53150,53150,42550,42550,60000,64800,55150,50200,49550,67700,14850,14650,15050,17250,17900,16550
9/6/2016,11250,10100,9650,11400,11100,12750,12250,31600,31600,114150,117500,110400,21850,21850,42050,42050,36850,36850,43000,42200,42950,38900,36350,41600,13750,12700,14500,13950,16250,17500,15100,16700,13900,13500,16800,16450,20200,19050,36800,36800,143000,150100,137200,24250,24250,53150,53150,42550,42550,60000,64800,55150,50200,49550,67700,14850,14650,15050,17250,17900,16550
9/7/2016,11250,10100,9650,11400,11150,12800,12300,31700,31700,114650,117800,111050,21850,21850,42550,42550,36950,36950,44700,43900,44500,38450,36250,40750,13750,12700,14500,13950,16200,17500,15100,16700,13900,13500,16800,16450,20200,19050,36800,36800,143000,150100,137200,24250,24250,53150,53150,42550,42550,60000,64800,55150,50200,49550,67700,14850,14650,15050,17250,17900,16550
9/8/2016,11250,10050,9650,11400,11100,12750,12250,32100,32100,114300,117600,110500,21800,21800,42550,42550,37000,37000,45550,44800,45250,38150,35650,40850,13800,12800,14550,13950,16200,17450,15100,16700,13900,13500,16800,16450,20200,19050,36800,36800,143000,150100,137200,24250,24250,53150,53150,42550,42550,60000,64800,55150,50200,49550,67700,14850,14650,15050,17250,17900,16550
9/9/2016,11150,10100,9650,11350,11100,12700,12200,32300,32300,114150,117550,110000,21800,21800,42800,42800,37150,37150,47150,46700,46650,37950,35600,40600,13800,12800,14550,13900,16250,17500,15150,16700,13900,13500,16800,16450,20200,19050,36800,36800,143000,150100,137200,24250,24250,53150,53150,42550,42550,60000,64800,55150,50200,49550,67700,14850,14650,15050,17250,17900,16550
9/13/2016,11150,10100,9600,11350,11100,12700,12200,33150,33150,115150,118350,110750,21850,21850,43000,43000,37550,37550,47150,48000,46400,37550,35550,41150,13800,12800,14500,13950,16250,17550,15100,16750,14100,13450,16800,16650,20050,19000,35750,35750,145400,152750,139500,23950,23950,52900,52900,43450,43450,57150,61400,52900,49950,49300,67700,14800,14650,14900,17200,17900,16500
9/14/2016,11250,10100,9650,11400,11150,12750,12250,32850,32850,115450,118550,111200,21800,21800,42500,42500,37500,37500,46100,46800,45250,38100,35850,41650,13800,12800,14500,13900,16200,17500,15000,16750,14100,13450,16800,16650,20050,19000,35750,35750,145400,152750,139500,23950,23950,52900,52900,43450,43450,57150,61400,52900,49950,49300,67700,14800,14650,14900,17200,17900,16500
9/15/2016,11250,10100,9650,11400,11150,12750,12250,32750,32750,114900,118100,111050,21850,21850,42450,42450,37300,37300,44550,45250,44100,37550,35550,40900,13800,12800,14500,13950,16200,17500,14950,16750,14100,13450,16800,16650,20050,19000,35750,35750,145400,152750,139500,23950,23950,52900,52900,43450,43450,57150,61400,52900,49950,49300,67700,14800,14650,14900,17200,17900,16500
9/16/2016,11250,10100,9650,11400,11150,12750,12200,32500,32500,114450,117650,110450,21850,21850,42350,42350,37200,37200,43450,43700,42950,36400,34950,37950,13750,12800,14500,13900,16200,17500,15000,16750,14100,13450,16800,16650,20050,19000,35750,35750,145400,152750,139500,23950,23950,52900,52900,43450,43450,57150,61400,52900,49950,49300,67700,14800,14650,14900,17200,17900,16500
9/19/2016,11250,10100,9650,11400,11150,12750,12200,32200,32200,114000,117100,110450,21800,21800,42000,42000,37250,37250,39650,40300,38900,34100,33050,35250,13750,12800,14500,13900,16150,17500,14950,16650,14050,13450,16850,16500,20050,18850,35550,35550,142800,152150,134900,23700,23700,52050,52050,42800,42800,56950,59800,54000,49650,49450,50400,14850,14750,14950,17200,17900,16450
9/20/2016,11250,10100,9650,11400,11150,12750,12250,32000,32000,113850,117050,110250,21800,21800,41700,41700,37200,37200,38550,39650,37800,33500,32650,34550,13800,12800,14500,13900,16100,17450,14900,16650,14050,13450,16850,16500,20050,18850,35550,35550,142800,152150,134900,23700,23700,52050,52050,42800,42800,56950,59800,54000,49650,49450,50400,14850,14750,14950,17200,17900,16450
9/21/2016,11250,10100,9650,11400,11150,12700,12200,32100,32100,114000,117200,110300,21750,21750,41800,41800,37150,37150,41750,39550,40900,32650,31850,33650,13800,12800,14550,13950,16100,17450,14900,16650,14050,13450,16850,16500,20050,18850,35550,35550,142800,152150,134900,23700,23700,52050,52050,42800,42800,56950,59800,54000,49650,49450,50400,14850,14750,14950,17200,17900,16450
9/22/2016,11250,10100,9650,11400,11150,12700,12200,32150,32150,114050,117250,110350,21700,21700,41750,41750,37200,37200,37900,38900,37400,32050,31250,32850,13750,12650,14550,13950,16100,17400,14900,16650,14050,13450,16850,16500,20050,18850,35550,35550,142800,152150,134900,23700,23700,52050,52050,42800,42800,56950,59800,54000,49650,49450,50400,14850,14750,14950,17200,17900,16450
9/23/2016,11250,10100,9650,11400,11150,12700,12200,32050,32050,114200,117300,110600,21750,21750,41700,41700,37250,37250,37550,38050,37200,31700,31250,32100,13750,12650,14550,13950,16050,17400,14850,16650,14050,13450,16850,16500,20050,18850,35550,35550,142800,152150,134900,23700,23700,52050,52050,42800,42800,56950,59800,54000,49650,49450,50400,14850,14750,14950,17200,17900,16450
9/26/2016,11250,10100,9650,11400,11150,12700,12200,32050,32050,113950,117200,110250,21600,21600,41200,41200,37200,37200,37650,38200,37050,31550,31400,31550,13700,12650,14450,13900,16000,17300,14850,16650,14050,13450,16850,16500,20050,18850,35550,35550,142800,152150,134900,23700,23700,52050,52050,42800,42800,56950,59800,54000,49650,49450,50400,14850,14750,14950,17200,17900,16450
9/27/2016,11250,10100,9650,11400,11150,12700,12200,31850,31850,114000,117200,110250,21550,21550,40600,40600,36950,36950,37850,38050,37250,31250,30900,31800,13700,12700,14450,13900,16000,17300,14850,16650,14050,13450,16850,16500,20050,18850,35550,35550,142800,152150,134900,23700,23700,52050,52050,42800,42800,56950,59800,54000,49650,49450,50400,14850,14750,14950,17200,17900,16450
9/28/2016,11250,10100,9650,11400,11150,12700,12200,31650,31650,114200,117350,110400,21550,21550,40300,40300,36900,36900,38450,38550,37850,31000,30700,31350,13750,12700,14500,13950,16000,17300,14800,16650,14050,13450,16850,16500,20050,18850,35550,35550,142800,152150,134900,23700,23700,52050,52050,42800,42800,56950,59800,54000,49650,49450,50400,14850,14750,14950,17200,17900,16450
